pierce,teshmoq
skull,bosh suyagi
blow,"zarba,puflamoq"
trigger,tepki
hypothesis,"taxmin,gipoteza"
twilight,shom vaqti
jam,murabbo
indistinctly,noaniq
prefer,afzal
wasting,isrof qilish
summarise,umumlashtirish
rock,"qoya , tosh"
significantly,sezilarli darajada
vital,hayotiy
theoretical,nazariy
chairman,rais
shoulders,yelkalar
doomsday,qiyomat kuni
pet,dom hayvoni
mutual,o`zaro
similar,o'xshash
confident,o'ziga ishongan
have you considered,hisobga olganmisan ?
pervert,buzuq
cooperation,hamkorlik
